category,grouping,num_id,id,name,orderable,sell_value,sell_currency,buy_value,buy_currency,sources,customizable,recipe,recipe_id,games_id,id_full,image_url
Accessories,clothes,12,3d-glasses,3D Glasses,,122,bells,490,bells,,,,,nh,item-3d-glasses,https://villagerdb.com/images/items/full/3d-glasses.b8e1b5a.png
Tops,clothes,14,a-tee,A Tee,,140,bells,560,bells,,,,,nh,item-a-tee,https://villagerdb.com/images/items/full/a-tee.a1af443.png
Wallpaper,decoration,17,abstract-wall,Abstract Wall,TRUE,390,bells,1560,bells,Nook's Cranny,,,,nh,,
Dresses,clothes,19,academy-uniform,Academy Uniform,,520,bells,2080,bells,,,,,nh,item-academy-uniform,https://villagerdb.com/images/items/full/academy-uniform.4475eb5.png
Fossils,critters,20,acanthostega,Acanthostega,FALSE,2000,bells,,,Underground (dig spot),,,,nh,item-acanthostega,https://villagerdb.com/images/items/thumb/acanthostega.0611938.png
Furniture,decoration,21,accessories-stand,Accessories Stand,TRUE,375,bells,1500,bells,Nook's Cranny,FALSE,,,nh,item-accessories-stand,https://villagerdb.com/images/items/thumb/accessories-stand.7707e11.png
Tops,clothes,23,acid-washed-jacket,Acid-washed Jacket,TRUE,420,bells,1680,bells,Able Sisters,,,,nh,item-acid-washed-jacket,https://villagerdb.com/images/items/full/acid-washed-jacket.4cb3530.png
Bottoms,clothes,24,acid-washed-jeans,Acid-washed Jeans,TRUE,330,bells,1320,bells,Able Sisters,,,,nh,item-acid-washed-jeans,https://villagerdb.com/images/items/full/acid-washed-jeans.b25de9d.png
Furniture,decoration,26,acnh-nintendo-switch,Acnh Nintendo Switch,TRUE,8990,bells,35960,bells,Receive in mail if playing on ACNH Switch,FALSE,,,nh,item-acnh-nintendo-switch,https://villagerdb.com/images/items/thumb/acnh-nintendo-switch.05f3283.png
Furniture,decoration,26,acnh-nintendo-switch,Acnh Nintendo Switch,TRUE,8990,bells,35960,bells,Nook Shopping,FALSE,,,nh,item-acnh-nintendo-switch,https://villagerdb.com/images/items/thumb/acnh-nintendo-switch.05f3283.png
Hats,clothes,28,acorn-knit-cap,Acorn Knit Cap,,220,bells,880,bells,,,,,nh,item-acorn-knit-cap,https://villagerdb.com/images/items/full/acorn-knit-cap.690efe4.png
Accessories,clothes,29,acorn-pochette,Acorn Pochette,,2400,bells,9600,bells,,,,,nh,item-acorn-pochette,https://villagerdb.com/images/items/full/acorn-pochette.0127660.png
Usables,misc,30,acorn,Acorn,,200,bells,,,,,,,nh,item-acorn,https://villagerdb.com/images/items/thumb/acorn.55cdd99.png
Furniture,decoration,31,acoustic-guitar,Acoustic Guitar,,3210,bells,12840,bells,,TRUE,8,softwood,nh,item-acoustic-guitar,https://villagerdb.com/images/items/thumb/acoustic-guitar.2d70f9e.png
Furniture,decoration,31,acoustic-guitar,Acoustic Guitar,,3210,bells,12840,bells,,TRUE,3,iron-nugget,nh,item-acoustic-guitar,https://villagerdb.com/images/items/thumb/acoustic-guitar.2d70f9e.png
Photos,decoration,32,admirals-photo,Admiral's Photo,,10,bells,40,bells,,,,,nh,,
Photos,decoration,33,admirals-poster,Admiral's Poster,,250,bells,1000,bells,,,,,nh,,
Dresses,clothes,34,adventure-dress,Adventure Dress,,700,bells,2800,bells,,,,,nh,item-adventure-dress,https://villagerdb.com/images/items/full/adventure-dress.e5556a8.png
Socks,decoration,35,aerobics-leggings,Aerobics Leggings,,175,bells,700,bells,,,,,nh,item-aerobics-leggings,https://villagerdb.com/images/items/full/aerobics-leggings.14cd346.png
Tops,clothes,38,after-school-jacket,After-school Jacket,,262,bells,1050,bells,,,,,nh,item-after-school-jacket,https://villagerdb.com/images/items/full/after-school-jacket.1867222.png
Music,misc,40,agent-kk,Agent K.K.,TRUE,800,bells,3200,bells,,,,,nh,,
Photos,decoration,41,agent-ss-photo,Agent S's Photo,,10,bells,40,bells,,,,,nh,,
Photos,decoration,42,agent-ss-poster,Agent S's Poster,,250,bells,1000,bells,,,,,nh,,
Photos,decoration,43,agness-photo,Agnes's Photo,,10,bells,40,bells,,,,,nh,,
Photos,decoration,44,agness-poster,Agnes's Poster,,250,bells,1000,bells,,,,,nh,,
Furniture,decoration,45,agrias-butterfly-model,Agrias Butterfly Model,,9000,bells,,,,,,,nh,item-agrias-butterfly-model,https://villagerdb.com/images/items/thumb/agrias-butterfly-model.e4ca430.png
Bugs,critters,46,agrias-butterfly,Agrias Butterfly,FALSE,3000,bells,12000,bells,,,,,nh,item-agrias-butterfly,https://villagerdb.com/images/items/thumb/agrias-butterfly.4936e2a.png
Furniture,decoration,47,air-circulator,Air Circulator,,275,bells,1100,bells,,,,,nh,item-air-circulator,https://villagerdb.com/images/items/thumb/air-circulator.7bd4f37.png
Furniture,decoration,48,air-conditioner,Air Conditioner,,15750,bells,63000,bells,,,,,nh,item-air-conditioner,https://villagerdb.com/images/items/thumb/air-conditioner.328dcb9.png
Photos,decoration,55,alfonsos-photo,Alfonso's Photo,,10,bells,40,bells,,,,,nh,,
Photos,decoration,56,alfonsos-poster,Alfonso's Poster,,250,bells,1000,bells,,,,,nh,,
Photos,decoration,57,alices-photo,Alice's Photo,,10,bells,40,bells,,,,,nh,,
Photos,decoration,58,alices-poster,Alice's Poster,,250,bells,1000,bells,,,,,nh,,
Photos,decoration,59,allis-photo,Alli's Photo,,10,bells,40,bells,,,,,nh,,
Photos,decoration,60,allis-poster,Alli's Poster,,250,bells,1000,bells,,,,,nh,,
Music,misc,62,aloha-kk,Aloha K.K.,TRUE,800,bells,3200,bells,,,,,nh,,
Dresses,clothes,76,alpinist-dress,Alpinist Dress,TRUE,630,bells,2520,bells,,,,,nh,item-alpinist-dress,https://villagerdb.com/images/items/full/alpinist-dress.46c499a.png
Hats,clothes,77,alpinist-hat,Alpinist Hat,,500,bells,2000,bells,,,,,nh,item-alpinist-hat,https://villagerdb.com/images/items/full/alpinist-hat.ba865e8.png
Dresses,clothes,78,alpinist-overalls,Alpinist Overalls,,630,bells,2520,bells,,,,,nh,item-alpinist-overalls,https://villagerdb.com/images/items/full/alpinist-overalls.238fbbf.png
Photos,decoration,79,als-photo,Al's Photo,,10,bells,40,bells,,,,,nh,,
